Date,Branch ID,Employee ID,Daily Customers,Sim Cards,Spoiled Cards,Cards Activated,Cards Topped Up,Apps,Apps Transacted,Customer Satisfaction
01-01-23,B001,B001_E001,68,3,0,1,0,2,0,3.4
01-01-23,B001,B001_E002,90,13,0,7,2,2,0,3.4
01-01-23,B001,B001_E003,87,6,0,4,1,1,0,3
01-01-23,B001,B001_E004,72,11,0,6,2,2,0,3
01-01-23,B001,B001_E005,90,6,0,4,1,1,0,2.7
01-01-23,B001,B001_E006,67,10,0,8,4,1,0,3.2
01-01-23,B001,B001_E007,59,13,0,9,3,1,0,2.7
01-01-23,B001,B001_E008,49,12,0,9,3,1,0,3.4
01-01-23,B001,B001_E009,73,9,0,6,2,2,0,3.3
01-01-23,B001,B001_E010,39,10,0,8,4,1,0,2.9
01-01-23,B002,B002_E001,65,18,0,10,5,3,1,4
01-01-23,B002,B002_E002,70,5,0,3,1,4,0,3.8
01-01-23,B002,B002_E003,92,8,0,4,1,5,1,3.7
01-01-23,B002,B002_E004,55,9,0,5,2,5,2,4.6
01-01-23,B002,B002_E005,95,5,0,3,1,2,0,4.1
01-01-23,B002,B002_E006,62,5,0,3,1,4,0,3.9
01-01-23,B002,B002_E007,68,8,0,6,3,3,0,4.2
01-01-23,B002,B002_E008,57,4,0,2,0,3,0,4.5
01-01-23,B002,B002_E009,93,13,0,10,4,4,1,4.2
01-01-23,B002,B002_E010,61,14,0,10,4,6,0,4.6
01-01-23,B003,B003_E001,53,8,0,5,2,7,3,5
01-01-23,B003,B003_E002,82,23,0,16,10,7,2,4.2
01-01-23,B003,B003_E003,49,27,0,23,11,10,4,5
01-01-23,B003,B003_E004,104,22,0,18,9,9,2,4.5
01-01-23,B003,B003_E005,94,8,0,5,2,9,2,5
01-01-23,B003,B003_E006,72,23,0,15,6,5,0,5
01-01-23,B003,B003_E007,113,28,0,18,8,5,2,5
01-01-23,B003,B003_E008,65,22,0,17,7,9,0,5
01-01-23,B003,B003_E009,107,14,0,8,3,8,1,4.6
01-01-23,B003,B003_E010,57,29,0,24,14,3,0,5
01-01-23,B004,B004_E001,103,15,0,12,6,1,0,3.8
01-01-23,B004,B004_E002,83,7,0,5,2,1,0,4.2
01-01-23,B004,B004_E003,82,17,0,11,6,2,0,3.8
01-01-23,B004,B004_E004,63,17,0,10,6,2,0,4.4
01-01-23,B004,B004_E005,72,7,0,4,1,2,0,4.1
01-01-23,B004,B004_E006,89,11,0,6,2,2,0,3.7
01-01-23,B004,B004_E007,65,12,0,9,3,2,0,4.6
01-01-23,B004,B004_E008,45,10,0,6,2,1,0,4.2
01-01-23,B004,B004_E009,53,17,0,11,5,2,0,4.3
01-01-23,B004,B004_E010,68,4,0,2,0,1,0,4
01-01-23,B005,B005_E001,95,12,0,7,3,4,0,3.8
01-01-23,B005,B005_E002,85,14,0,11,5,3,1,3.3
01-01-23,B005,B005_E003,86,19,0,16,6,8,4,3.4
01-01-23,B005,B005_E004,78,6,0,3,1,4,0,3.3
01-01-23,B005,B005_E005,85,19,0,13,8,5,2,3.7
01-01-23,B005,B005_E006,44,22,0,13,8,8,3,3.8
01-01-23,B005,B005_E007,69,11,0,7,2,5,1,3.9
01-01-23,B005,B005_E008,82,12,0,8,4,6,1,3.3
01-01-23,B005,B005_E009,101,21,0,14,8,4,0,3.3
01-01-23,B005,B005_E010,75,7,0,4,1,4,1,3.4
01-01-23,B006,B006_E001,108,19,0,13,7,5,2,4.1
01-01-23,B006,B006_E002,88,9,0,6,2,5,2,4.3
01-01-23,B006,B006_E003,114,19,0,13,6,5,2,4.3
01-01-23,B006,B006_E004,74,10,0,7,2,6,2,4.2
01-01-23,B006,B006_E005,66,18,0,11,4,3,0,4.9
01-01-23,B006,B006_E006,103,12,0,9,3,4,0,4.9
01-01-23,B006,B006_E007,62,17,0,12,6,3,0,4.6
01-01-23,B006,B006_E008,59,20,0,14,5,2,0,4.5
01-01-23,B006,B006_E009,81,7,0,5,2,4,0,5
01-01-23,B006,B006_E010,72,11,0,7,3,7,3,4.2
01-01-23,B007,B007_E001,38,12,0,9,4,4,0,4.7
01-01-23,B007,B007_E002,63,17,0,10,6,2,0,5
01-01-23,B007,B007_E003,34,8,0,5,2,3,1,5
01-01-23,B007,B007_E004,54,6,0,4,1,4,1,4.5
01-01-23,B007,B007_E005,74,23,0,14,5,5,2,5
01-01-23,B007,B007_E006,76,9,0,7,3,2,0,4.8
01-01-23,B007,B007_E007,38,13,0,10,4,5,0,5
01-01-23,B007,B007_E008,78,22,0,16,10,5,2,4.9
01-01-23,B007,B007_E009,71,14,0,9,5,5,0,5
01-01-23,B007,B007_E010,41,10,0,7,2,5,1,5
01-01-23,B008,B008_E001,49,23,0,16,7,2,0,3.7
01-01-23,B008,B008_E002,38,20,0,15,6,5,1,3.3
01-01-23,B008,B008_E003,74,20,0,17,7,5,2,4
01-01-23,B008,B008_E004,64,16,0,11,6,4,0,4.1
01-01-23,B008,B008_E005,39,21,0,12,7,4,1,3.5
01-01-23,B008,B008_E006,41,9,0,6,3,3,1,3.5
01-01-23,B008,B008_E007,74,13,0,7,2,3,1,4.1
01-01-23,B008,B008_E008,35,8,0,6,3,2,0,4
01-01-23,B008,B008_E009,63,9,0,5,2,5,2,4
01-01-23,B008,B008_E010,68,10,0,8,4,5,1,3.9
01-01-23,B009,B009_E001,46,8,0,4,1,3,0,4.2
01-01-23,B009,B009_E002,32,12,0,8,4,3,1,3.9
01-01-23,B009,B009_E003,53,5,0,3,1,1,0,3.8
01-01-23,B009,B009_E004,39,8,0,5,2,1,0,3.4
01-01-23,B009,B009_E005,29,5,0,3,1,1,0,4.1
01-01-23,B009,B009_E006,21,11,0,7,2,2,0,3.6
01-01-23,B009,B009_E007,41,4,0,2,0,2,0,4
01-01-23,B009,B009_E008,30,5,0,3,1,3,1,4
01-01-23,B009,B009_E009,21,3,0,1,0,2,0,3.6
01-01-23,B009,B009_E010,30,3,0,1,0,2,0,3.9
01-01-23,B010,B010_E001,35,13,0,8,4,0,0,3.4
01-01-23,B010,B010_E002,51,22,0,13,7,0,0,3.3
01-01-23,B010,B010_E003,41,11,0,6,3,0,0,2.8
01-01-23,B010,B010_E004,74,7,0,5,2,1,0,2.7
01-01-23,B010,B010_E005,59,12,0,8,4,0,0,3.3
01-01-23,B010,B010_E006,60,18,0,11,4,1,0,3
01-01-23,B010,B010_E007,83,7,0,5,2,0,0,3
01-01-23,B010,B010_E008,80,13,0,8,4,1,0,2.6
01-01-23,B010,B010_E009,63,18,0,14,6,0,0,3.1
01-01-23,B010,B010_E010,48,9,0,5,2,1,0,3.2
01-01-23,B011,B011_E001,35,11,0,8,3,2,0,3.3
01-01-23,B011,B011_E002,52,10,0,7,2,4,0,3
01-01-23,B011,B011_E003,45,4,0,2,0,2,0,3.2
01-01-23,B011,B011_E004,55,17,0,13,8,4,1,3.4
01-01-23,B011,B011_E005,38,6,0,3,1,4,1,3.2
01-01-23,B011,B011_E006,56,6,0,3,1,4,0,3.9
01-01-23,B011,B011_E007,58,11,0,6,2,3,1,3.8
01-01-23,B011,B011_E008,46,17,0,10,5,2,0,3.1
01-01-23,B011,B011_E009,53,12,0,9,4,5,2,3.3
01-01-23,B011,B011_E010,36,14,0,10,5,5,1,3.2
01-01-23,B012,B012_E001,58,24,0,15,9,6,1,4.5
01-01-23,B012,B012_E002,104,24,0,15,7,6,2,3.8
01-01-23,B012,B012_E003,104,14,0,10,6,5,2,4.6
01-01-23,B012,B012_E004,100,15,0,9,4,5,1,3.8
01-01-23,B012,B012_E005,50,8,0,6,2,8,4,3.8
01-01-23,B012,B012_E006,120,10,0,8,3,5,0,4.6
01-01-23,B012,B012_E007,98,7,0,4,1,10,4,4.4
01-01-23,B012,B012_E008,75,24,0,16,6,4,1,3.9
01-01-23,B012,B012_E009,95,13,0,7,2,7,3,3.9
01-01-23,B012,B012_E010,57,8,0,5,2,4,1,4.3
01-01-23,B013,B013_E001,64,12,0,9,4,2,0,2.8
01-01-23,B013,B013_E002,50,12,0,7,2,2,0,3.6
01-01-23,B013,B013_E003,51,16,0,10,4,2,0,3
01-01-23,B013,B013_E004,43,18,0,10,5,1,0,3.6
01-01-23,B013,B013_E005,38,7,0,4,1,2,0,3.2
01-01-23,B013,B013_E006,64,5,0,3,1,2,0,3.1
01-01-23,B013,B013_E007,69,7,0,4,1,1,0,3.2
01-01-23,B013,B013_E008,38,12,0,7,2,1,0,3.6
01-01-23,B013,B013_E009,46,15,0,9,5,1,0,3.4
01-01-23,B013,B013_E010,41,11,0,7,2,1,0,3.2
01-01-23,B014,B014_E001,103,6,0,4,1,3,0,4.2
01-01-23,B014,B014_E002,120,10,0,7,2,4,1,3.9
01-01-23,B014,B014_E003,96,16,0,10,4,3,0,3.4
01-01-23,B014,B014_E004,113,9,0,6,2,9,5,3.5
01-01-23,B014,B014_E005,114,7,0,5,2,7,2,4
01-01-23,B014,B014_E006,49,16,0,12,7,6,2,3.6
01-01-23,B014,B014_E007,52,16,0,10,5,7,1,3.7
01-01-23,B014,B014_E008,79,18,0,11,4,4,0,4
01-01-23,B014,B014_E009,100,9,0,6,3,3,0,4.2
01-01-23,B014,B014_E010,49,19,0,13,6,3,1,3.5
01-01-23,B015,B015_E001,70,5,0,3,1,9,2,4
01-01-23,B015,B015_E002,60,11,0,7,2,4,0,4.1
01-01-23,B015,B015_E003,66,6,0,4,1,9,4,3.6
01-01-23,B015,B015_E004,86,15,0,10,6,3,0,4.1
01-01-23,B015,B015_E005,92,11,0,6,2,3,1,4.1
01-01-23,B015,B015_E006,52,6,0,3,1,9,0,3.3
01-01-23,B015,B015_E007,42,13,0,7,2,8,3,4.1
01-01-23,B015,B015_E008,66,15,0,11,4,3,1,3.4
01-01-23,B015,B015_E009,72,4,0,2,0,4,1,4.2
01-01-23,B015,B015_E010,48,12,0,7,2,9,5,4.3
01-01-23,B016,B016_E001,63,4,0,2,0,1,0,4.6
01-01-23,B016,B016_E002,50,4,0,2,0,1,0,4.3
01-01-23,B016,B016_E003,68,11,0,7,3,1,0,4.4
01-01-23,B016,B016_E004,32,10,0,6,2,3,0,4.2
01-01-23,B016,B016_E005,31,6,0,4,1,3,0,4.7
01-01-23,B016,B016_E006,54,12,0,9,3,3,0,4.6
01-01-23,B016,B016_E007,66,17,0,10,6,1,0,4.4
01-01-23,B016,B016_E008,62,7,0,4,1,2,0,4.7
01-01-23,B016,B016_E009,59,5,0,3,1,4,0,4
01-01-23,B016,B016_E010,50,12,0,8,4,2,0,4.1
01-01-23,B017,B017_E001,35,14,0,8,3,6,3,3.9
01-01-23,B017,B017_E002,34,12,0,7,2,4,0,3.8
01-01-23,B017,B017_E003,45,7,0,5,2,7,1,3.3
01-01-23,B017,B017_E004,48,6,0,3,1,3,1,4.1
01-01-23,B017,B017_E005,60,17,0,13,7,7,2,3.5
01-01-23,B017,B017_E006,60,7,0,4,1,2,0,3.7
01-01-23,B017,B017_E007,56,14,0,8,3,4,1,3.8
01-01-23,B017,B017_E008,71,9,0,7,2,5,1,3.5
01-01-23,B017,B017_E009,67,6,0,4,1,7,0,3.9
01-01-23,B017,B017_E010,34,12,0,9,5,5,2,3.2
01-01-23,B018,B018_E001,57,27,0,21,9,1,0,4
01-01-23,B018,B018_E002,72,16,0,13,6,2,0,4.5
01-01-23,B018,B018_E003,52,12,0,7,3,2,0,4.4
01-01-23,B018,B018_E004,40,23,0,18,7,1,0,4.3
01-01-23,B018,B018_E005,76,22,0,14,6,2,0,4.1
01-01-23,B018,B018_E006,98,27,0,22,13,2,0,3.9
01-01-23,B018,B018_E007,70,21,0,16,10,2,0,4.2
01-01-23,B018,B018_E008,94,17,0,10,4,1,0,4.5
01-01-23,B018,B018_E009,89,18,0,14,7,1,0,4.5
01-01-23,B018,B018_E010,59,16,0,12,6,2,0,4.6
01-01-23,B019,B019_E001,77,11,0,7,2,2,0,4.6
01-01-23,B019,B019_E002,53,8,0,6,3,2,0,4.5
01-01-23,B019,B019_E003,106,11,0,8,4,2,0,4.9
01-01-23,B019,B019_E004,96,11,0,6,3,2,0,5
01-01-23,B019,B019_E005,54,13,0,9,4,2,0,4.2
01-01-23,B019,B019_E006,61,6,0,4,1,2,0,4.5
01-01-23,B019,B019_E007,95,16,0,13,8,1,0,4.6
01-01-23,B019,B019_E008,59,13,0,8,3,1,0,4.3
01-01-23,B019,B019_E009,76,19,0,14,8,2,0,4.6
01-01-23,B019,B019_E010,88,6,0,4,1,1,0,4.4
01-01-23,B020,B020_E001,70,8,0,5,2,3,1,4.4
01-01-23,B020,B020_E002,44,18,0,13,7,3,1,4.5
01-01-23,B020,B020_E003,76,10,0,8,4,2,0,3.7
01-01-23,B020,B020_E004,35,7,0,5,2,4,1,3.9
01-01-23,B020,B020_E005,52,22,0,13,7,4,1,4
01-01-23,B020,B020_E006,57,8,0,4,1,2,0,4
01-01-23,B020,B020_E007,31,14,0,11,4,6,2,3.9
01-01-23,B020,B020_E008,42,18,0,14,5,5,1,4.4
01-01-23,B020,B020_E009,48,16,0,9,5,3,0,3.6
01-01-23,B020,B020_E010,63,15,0,10,4,6,0,3.7
01-01-23,B021,B021_E001,73,6,0,3,1,3,1,4
01-01-23,B021,B021_E002,51,12,0,7,2,2,0,4.4
01-01-23,B021,B021_E003,88,5,0,3,1,4,0,3.9
01-01-23,B021,B021_E004,80,14,0,11,6,2,0,4
01-01-23,B021,B021_E005,51,6,0,3,1,6,1,4.4
01-01-23,B021,B021_E006,75,15,0,12,7,7,0,4.5
01-01-23,B021,B021_E007,101,7,0,4,1,2,0,4.5
01-01-23,B021,B021_E008,97,16,0,10,4,3,1,4.4
01-01-23,B021,B021_E009,98,4,0,2,0,7,3,3.8
01-01-23,B021,B021_E010,60,6,0,4,1,3,1,4.2
01-01-23,B022,B022_E001,41,5,0,3,1,4,1,3.4
01-01-23,B022,B022_E002,65,10,0,7,3,5,2,3.7
01-01-23,B022,B022_E003,48,6,0,4,1,5,2,3.3
01-01-23,B022,B022_E004,49,9,0,6,2,4,0,3.1
01-01-23,B022,B022_E005,58,4,0,2,0,2,0,2.8
01-01-23,B022,B022_E006,62,13,0,7,3,2,0,3
01-01-23,B022,B022_E007,56,16,0,11,4,4,1,2.7
01-01-23,B022,B022_E008,30,17,0,14,8,5,1,3.2
01-01-23,B022,B022_E009,50,4,0,2,0,2,0,3.5
01-01-23,B022,B022_E010,65,5,0,3,1,4,1,3.1
01-01-23,B023,B023_E001,79,22,0,18,10,3,0,2.9
01-01-23,B023,B023_E002,95,12,0,7,3,2,0,3.2
01-01-23,B023,B023_E003,54,16,0,11,5,3,1,3
01-01-23,B023,B023_E004,98,20,0,13,5,3,0,3.3
01-01-23,B023,B023_E005,87,11,0,8,4,1,0,3.3
01-01-23,B023,B023_E006,48,19,0,14,8,1,0,3.1
01-01-23,B023,B023_E007,92,15,0,11,4,3,0,3.5
01-01-23,B023,B023_E008,74,21,0,16,10,3,0,3
01-01-23,B023,B023_E009,95,24,0,17,7,3,1,3.2
01-01-23,B023,B023_E010,56,9,0,7,2,3,1,3.3
01-01-23,B024,B024_E001,68,27,0,20,11,4,0,4.5
01-01-23,B024,B024_E002,59,18,0,10,6,5,1,4.1
01-01-23,B024,B024_E003,101,15,0,11,6,6,3,4.6
01-01-23,B024,B024_E004,108,11,0,7,3,8,1,4.4
01-01-23,B024,B024_E005,58,15,0,10,6,5,2,4.8
01-01-23,B024,B024_E006,109,8,0,6,3,3,0,4.7
01-01-23,B024,B024_E007,60,20,0,14,7,8,0,4.4
01-01-23,B024,B024_E008,102,21,0,16,8,8,4,4.5
01-01-23,B024,B024_E009,52,16,0,13,5,6,0,4.3
01-01-23,B024,B024_E010,105,20,0,12,7,8,2,4.5
01-01-23,B025,B025_E001,77,11,0,8,4,3,1,2.9
01-01-23,B025,B025_E002,86,22,0,14,6,1,0,3
01-01-23,B025,B025_E003,84,18,0,12,7,2,0,2.8
01-01-23,B025,B025_E004,69,10,0,7,2,2,0,2.9
01-01-23,B025,B025_E005,82,21,0,13,7,2,0,3.4
01-01-23,B025,B025_E006,101,15,0,11,5,2,0,3.2
01-01-23,B025,B025_E007,98,16,0,12,4,1,0,3
01-01-23,B025,B025_E008,63,12,0,9,4,3,0,3.4
01-01-23,B025,B025_E009,78,19,0,16,10,1,0,2.9
01-01-23,B025,B025_E010,100,15,0,9,4,2,0,3.3
02-01-23,B001,B001_E001,86,21,0,14,7,3,0,4.2
02-01-23,B001,B001_E002,60,13,0,9,4,2,0,3.8
02-01-23,B001,B001_E003,71,11,0,7,2,5,0,3.8
02-01-23,B001,B001_E004,82,10,0,6,3,5,2,4.1
02-01-23,B001,B001_E005,75,20,0,17,7,2,0,3.8
02-01-23,B001,B001_E006,73,15,0,11,4,4,0,3.9
02-01-23,B001,B001_E007,43,9,0,6,3,2,0,4.7
02-01-23,B001,B001_E008,76,13,0,9,4,3,0,4.6
02-01-23,B001,B001_E009,56,15,0,11,6,5,1,4.2
02-01-23,B001,B001_E010,63,6,0,3,1,3,0,4.1
02-01-23,B002,B002_E001,79,22,0,18,11,5,1,2.6
02-01-23,B002,B002_E002,57,19,0,14,7,7,0,3.3
02-01-23,B002,B002_E003,57,25,0,21,12,7,3,3.3
02-01-23,B002,B002_E004,73,10,0,6,3,5,1,2.8
02-01-23,B002,B002_E005,41,17,0,12,4,5,1,3.1
02-01-23,B002,B002_E006,56,22,0,18,10,7,1,3.3
02-01-23,B002,B002_E007,63,11,0,8,4,6,1,3.2
02-01-23,B002,B002_E008,53,11,0,8,4,8,0,2.7
02-01-23,B002,B002_E009,64,23,0,14,6,4,1,3.5
02-01-23,B002,B002_E010,45,8,0,6,3,6,0,3.2
02-01-23,B003,B003_E001,47,6,0,4,1,5,1,3.8
02-01-23,B003,B003_E002,95,11,0,7,3,6,2,3.8
02-01-23,B003,B003_E003,72,6,0,3,1,4,1,4.3
02-01-23,B003,B003_E004,97,15,0,9,3,3,1,4.3
02-01-23,B003,B003_E005,91,8,0,4,1,4,1,4.4
02-01-23,B003,B003_E006,73,8,0,5,2,6,1,3.9
02-01-23,B003,B003_E007,52,11,0,6,2,2,0,4.2
02-01-23,B003,B003_E008,44,11,0,8,4,2,0,4.5
02-01-23,B003,B003_E009,77,10,0,8,4,6,0,4.5
02-01-23,B003,B003_E010,54,6,0,3,1,5,2,3.6
02-01-23,B004,B004_E001,32,9,0,7,2,1,0,4.8
02-01-23,B004,B004_E002,22,3,0,1,0,1,0,4.9
02-01-23,B004,B004_E003,27,10,0,8,3,2,0,4.2
02-01-23,B004,B004_E004,53,3,0,1,0,2,0,4.9
